Algorithm,Problem,IndicatorName,ExecutionId,IndicatorValue
NSGAII,MazoMinimoTopTrumpsSO,EP,0,0.0
NSGAII,MazoMinimoTopTrumpsSO,EP,1,0.0
NSGAII,MazoMinimoTopTrumpsSO,EP,2,0.0
NSGAII,MazoMinimoTopTrumpsSO,EP,3,0.0
NSGAII,MazoMinimoTopTrumpsSO,EP,4,0.0
NSGAII,MazoMinimoTopTrumpsSO,EP,5,0.0
NSGAII,MazoMinimoTopTrumpsSO,EP,6,0.0
NSGAII,MazoMinimoTopTrumpsSO,EP,7,0.0
NSGAII,MazoMinimoTopTrumpsSO,EP,8,0.0
NSGAII,MazoMinimoTopTrumpsSO,EP,9,0.0
NSGAII,MazoMinimoTopTrumpsSO,SP,0,1.0
NSGAII,MazoMinimoTopTrumpsSO,SP,1,1.0
NSGAII,MazoMinimoTopTrumpsSO,SP,2,1.0
NSGAII,MazoMinimoTopTrumpsSO,SP,3,1.0
NSGAII,MazoMinimoTopTrumpsSO,SP,4,1.0
NSGAII,MazoMinimoTopTrumpsSO,SP,5,1.0
NSGAII,MazoMinimoTopTrumpsSO,SP,6,1.0
NSGAII,MazoMinimoTopTrumpsSO,SP,7,1.0
NSGAII,MazoMinimoTopTrumpsSO,SP,8,1.0
NSGAII,MazoMinimoTopTrumpsSO,SP,9,1.0
NSGAII,MazoMinimoTopTrumpsSO,GD,0,0.0
NSGAII,MazoMinimoTopTrumpsSO,GD,1,0.0
NSGAII,MazoMinimoTopTrumpsSO,GD,2,0.0
NSGAII,MazoMinimoTopTrumpsSO,GD,3,0.0
NSGAII,MazoMinimoTopTrumpsSO,GD,4,0.0
NSGAII,MazoMinimoTopTrumpsSO,GD,5,0.0
NSGAII,MazoMinimoTopTrumpsSO,GD,6,0.0
NSGAII,MazoMinimoTopTrumpsSO,GD,7,0.0
NSGAII,MazoMinimoTopTrumpsSO,GD,8,0.0
NSGAII,MazoMinimoTopTrumpsSO,GD,9,0.0
NSGAII,MazoMinimoTopTrumpsSO,HV,0,1.0
NSGAII,MazoMinimoTopTrumpsSO,HV,1,1.0
NSGAII,MazoMinimoTopTrumpsSO,HV,2,1.0
NSGAII,MazoMinimoTopTrumpsSO,HV,3,1.0
NSGAII,MazoMinimoTopTrumpsSO,HV,4,1.0
NSGAII,MazoMinimoTopTrumpsSO,HV,5,1.0
NSGAII,MazoMinimoTopTrumpsSO,HV,6,1.0
NSGAII,MazoMinimoTopTrumpsSO,HV,7,1.0
NSGAII,MazoMinimoTopTrumpsSO,HV,8,1.0
NSGAII,MazoMinimoTopTrumpsSO,HV,9,1.0
NSGAII,MazoMinimoTopTrumpsSO,NHV,0,0.0
NSGAII,MazoMinimoTopTrumpsSO,NHV,1,0.0
NSGAII,MazoMinimoTopTrumpsSO,NHV,2,0.0
NSGAII,MazoMinimoTopTrumpsSO,NHV,3,0.0
NSGAII,MazoMinimoTopTrumpsSO,NHV,4,0.0
NSGAII,MazoMinimoTopTrumpsSO,NHV,5,0.0
NSGAII,MazoMinimoTopTrumpsSO,NHV,6,0.0
NSGAII,MazoMinimoTopTrumpsSO,NHV,7,0.0
NSGAII,MazoMinimoTopTrumpsSO,NHV,8,0.0
NSGAII,MazoMinimoTopTrumpsSO,NHV,9,0.0
NSGAII,MazoMinimoTopTrumpsSO,IGD,0,0.0
NSGAII,MazoMinimoTopTrumpsSO,IGD,1,0.0
NSGAII,MazoMinimoTopTrumpsSO,IGD,2,0.0
NSGAII,MazoMinimoTopTrumpsSO,IGD,3,0.0
NSGAII,MazoMinimoTopTrumpsSO,IGD,4,0.0
NSGAII,MazoMinimoTopTrumpsSO,IGD,5,0.0
NSGAII,MazoMinimoTopTrumpsSO,IGD,6,0.0
NSGAII,MazoMinimoTopTrumpsSO,IGD,7,0.0
NSGAII,MazoMinimoTopTrumpsSO,IGD,8,0.0
NSGAII,MazoMinimoTopTrumpsSO,IGD,9,0.0
NSGAII,MazoMinimoTopTrumpsSO,IGD+,0,0.0
NSGAII,MazoMinimoTopTrumpsSO,IGD+,1,0.0
NSGAII,MazoMinimoTopTrumpsSO,IGD+,2,0.0
NSGAII,MazoMinimoTopTrumpsSO,IGD+,3,0.0
NSGAII,MazoMinimoTopTrumpsSO,IGD+,4,0.0
NSGAII,MazoMinimoTopTrumpsSO,IGD+,5,0.0
NSGAII,MazoMinimoTopTrumpsSO,IGD+,6,0.0
NSGAII,MazoMinimoTopTrumpsSO,IGD+,7,0.0
NSGAII,MazoMinimoTopTrumpsSO,IGD+,8,0.0
NSGAII,MazoMinimoTopTrumpsSO,IGD+,9,0.0
